incident_id,case_number,report_date,report_time,occurred_date,occurred_time,crime_type,crime_category,ucr_code,crime_severity,premises_type,location_description,latitude,longitude,district,beat,neighborhood,zip_code,ward,victim_count,victim_age_group,victim_gender,victim_race,suspect_count,suspect_age_group,suspect_gender,suspect_race,arrest_made,arrest_date,charges_filed,case_status,clearance_type,weapon_used,domestic_related,gang_related,hate_crime,property_damage,estimated_loss,stolen_vehicles,recovered_property,officer_id,responding_officers,investigation_hours,witnesses,evidence_collected,video_footage,day_of_week,time_category,season,month,year,is_holiday,weather,temperature_f,reported_by,priority_level,arrest_date_status,arrest_status
INC00000001,2023-000001,2023-04-25,12:17:00,2023-04-23,18:22:00,Burglary,Property,2K,Misdemeanor,Convenience Store,7925 Pine St,40.592409,-74.155897,Central,11A,Eastbrook,74142,9,1,Unknown,Male,Black,3,35-44,Unknown,Unknown,No,,Yes,Closed - Unfounded,Unfounded,Unknown,No,No,No,No,0,0,Yes,OFF0058,3,57,3,No,Yes,Thursday,Evening,Spring,April,2023,No,Clear,39,Anonymous,Low,Not Applicable / Pending,Not Applicable
INC00000002,2023-000002,2023-08-06,18:59:00,2023-08-03,12:23:00,Robbery,Property,8B,Felony,Restaurant,4508 Pine St,40.95071,-74.089831,North,15C,Harbor District,58972,10,3,35-44,Female,White,1,18-24,Unknown,Unknown,No,,Yes,Under Investigation,Unknown,Unknown,No,No,No,No,49367,0,No,OFF0312,3,167,2,Yes,Yes,Tuesday,Afternoon,Summer,August,2023,No,Fog,89,Third Party,High,Not Applicable / Pending,Not Applicable
INC00000003,2023-000003,2023-07-09,19:42:00,2023-07-04,19:16:00,Vandalism,Other,9V,Misdemeanor,Commercial,9259 Pine St,40.694952,-74.14122,Suburbs,12D,Oak Park,67648,1,3,35-44,Male,Unknown,1,Unknown,Unknown,Hispanic,Yes,2023-10-01,No,Under Investigation,Unfounded,Other,No,No,No,No,0,0,Yes,OFF0056,3,116,2,No,No,Tuesday,Evening,Summer,July,2023,No,Clear,58,Anonymous,Medium,Recorded,Completed
INC00000004,2023-000004,2023-01-22,01:37:00,2023-01-21,17:24:00,Drug Offense,Other,3P,Felony,Park,5717 Maple St,40.915904,-74.1094,Suburbs,3E,Northgate,24562,9,1,55-64,Unknown,Hispanic,3,0-17,Unknown,Unknown,No,,No,Closed - Cleared,Exceptional,Unknown,Yes,No,No,Yes,0,0,No,OFF0147,2,184,3,Yes,No,Tuesday,Evening,Winter,January,2023,No,Clear,31,Third Party,Medium,Not Applicable / Pending,Not Applicable
INC00000005,2023-000005,2023-03-03,12:40:00,2023-03-02,22:19:00,Theft,Property,4S,Felony,Mall,7699 Main St,40.544292,-74.052429,Central,5D,Eastbrook,68616,7,3,0-17,Female,Black,2,Unknown,Unknown,Asian,Yes,,Yes,Closed - Unfounded,Unfounded,Unknown,Yes,No,No,No,0,0,No,OFF0382,1,193,1,No,Yes,Sunday,Night,Spring,March,2023,No,Rain,51,Third Party,High,Not Applicable / Pending,Pending
INC00000006,2023-000006,2023-02-13,16:53:00,2023-02-13,18:57:00,Arson,Other,7Z,Felony,Other,2444 Main St,40.957166,-73.928651,Central,16E,Hillside,25156,1,2,65+,Male,Black,2,Unknown,Unknown,Unknown,Yes,2023-05-08,No,Closed - Unfounded,Unknown,Firearm,No,No,No,No,41352,0,No,OFF0319,2,161,0,No,Yes,Wednesday,Evening,Winter,February,2023,No,Snow,66,Witness,High,Recorded,Completed
INC00000007,2023-000007,2023-02-15,09:46:00,2023-02-12,17:41:00,DUI,Other,6P,Misdemeanor,Mall,7341 Maple St,40.654453,-73.849102,West,17A,Oak Park,31731,8,1,0-17,Unknown,Unknown,3,Unknown,Female,Unknown,No,,No,Closed - Arrested,Arrest,Other,Yes,No,No,No,0,0,No,OFF0337,3,181,1,Yes,No,Friday,Evening,Winter,February,2023,No,Fog,89,Anonymous,Medium,Not Applicable / Pending,Not Applicable
INC00000008,2023-000008,2023-03-04,03:11:00,2023-02-28,02:49:00,Burglary,Property,1S,Infraction,Mall,9164 Pine St,40.682233,-73.938811,South,15D,Riverside,74685,10,2,25-34,Female,White,2,Unknown,Female,White,No,,No,Open,Exceptional,Unknown,No,No,No,No,1405,0,No,OFF0380,3,82,1,No,No,Monday,Night,Spring,March,2023,No,Snow,63,Witness,Medium,Not Applicable / Pending,Not Applicable
INC00000009,2023-000009,2023-03-24,13:30:00,2023-03-21,16:21:00,Arson,Other,2R,Felony,Office,7944 Maple St,40.940224,-73.874254,Downtown,7C,Eastbrook,25618,4,1,65+,Female,Black,0,0-17,Male,Asian,Yes,,No,Closed - Unfounded,Arrest,Unknown,Yes,No,No,Yes,12498,0,No,OFF0458,1,118,2,No,No,Sunday,Afternoon,Spring,March,2023,No,Snow,67,Victim,High,Not Applicable / Pending,Pending
INC00000010,2023-000010,2023-07-08,13:16:00,2023-07-04,04:22:00,Arson,Other,4Y,Felony,Gas Station,747 Pine St,40.865114,-73.782958,West,3D,Harbor District,42972,7,2,18-24,Male,Unknown,2,Unknown,Unknown,Black,No,,No,Under Investigation,Unknown,Other,No,Yes,No,No,20496,0,No,OFF0238,3,157,3,No,No,Monday,Night,Summer,July,2023,No,Fog,30,Witness,High,Not Applicable / Pending,Not Applicable
